Identifier,value1,value2,value3,g,l,s,m,e
180.0,249,37,30,1,0,0,0,0
180.0,248,40,34,1,0,0,0,0
180.0,251,39,32,1,0,0,0,0
180.0,250,41,31,1,0,0,0,0
180.0,253,40,32,1,0,0,0,0
180.0,250,41,32,1,0,0,0,0
180.0,251,41,33,1,0,0,0,0
180.0,251,42,29,1,0,0,0,0
180.0,257,43,31,1,0,0,0,0
180.0,257,46,32,1,0,0,0,0
180.0,263,44,35,1,0,0,0,0
180.0,266,44,34,1,0,0,0,0
180.0,265,45,31,1,0,0,0,0
180.0,265,41,31,1,0,0,0,0
180.0,265,43,33,1,0,0,0,0
180.0,267,40,33,1,0,0,0,0
180.0,264,39,32,1,0,0,0,0
180.0,263,41,32,1,0,0,0,0
180.0,264,40,32,1,0,0,0,0
180.0,261,40,33,1,0,0,0,0
180.0,263,40,33,1,0,0,0,0
180.0,268,39,32,1,0,0,0,0
180.0,263,41,31,1,0,0,0,0
180.0,264,41,32,1,0,0,0,0
180.0,267,38,32,1,0,0,0,0
180.0,8191,146,30,0,1,0,0,0
180.0,8190,145,31,0,1,0,0,0
180.0,8190,147,32,0,1,0,0,0
180.0,8190,146,32,0,1,0,0,0
180.0,8190,147,30,0,1,0,0,0
180.0,8190,145,30,0,1,0,0,0
180.0,8190,145,32,0,1,0,0,0
180.0,8190,147,31,0,1,0,0,0
180.0,8191,146,30,0,1,0,0,0
180.0,8190,147,29,0,1,0,0,0
180.0,8190,146,31,0,1,0,0,0
180.0,8190,145,28,0,1,0,0,0
180.0,8190,146,29,0,1,0,0,0
180.0,8190,147,31,0,1,0,0,0
180.0,8190,145,30,0,1,0,0,0
180.0,8190,144,29,0,1,0,0,0
180.0,8190,145,27,0,1,0,0,0
180.0,8190,145,28,0,1,0,0,0
180.0,8190,143,33,0,1,0,0,0
180.0,8190,143,28,0,1,0,0,0
180.0,8190,144,32,0,1,0,0,0
180.0,8190,147,28,0,1,0,0,0
180.0,8190,143,31,0,1,0,0,0
180.0,8190,144,28,0,1,0,0,0
180.0,8190,146,31,0,1,0,0,0
180.0,8190,142,28,0,1,0,0,0
180.0,8190,144,28,0,1,0,0,0
180.0,8190,143,30,0,1,0,0,0
180.0,8190,145,30,0,1,0,0,0
180.0,8190,144,30,0,1,0,0,0
180.0,8190,146,28,0,1,0,0,0
180.0,8190,145,32,0,1,0,0,0
180.0,8190,146,29,0,1,0,0,0
180.0,8190,145,30,0,1,0,0,0
180.0,8190,143,31,0,1,0,0,0
180.0,8190,144,30,0,1,0,0,0
180.0,8190,144,26,0,1,0,0,0
180.0,8190,143,32,0,1,0,0,0
180.0,8190,144,29,0,1,0,0,0
180.0,8190,145,33,0,1,0,0,0
180.0,8190,146,32,0,1,0,0,0
180.0,8190,144,32,0,1,0,0,0
180.0,8190,144,30,0,1,0,0,0
180.0,8190,145,30,0,1,0,0,0
180.0,8190,143,29,0,1,0,0,0
180.0,8190,145,31,0,1,0,0,0
180.0,8190,144,32,0,1,0,0,0
180.0,8190,144,29,0,1,0,0,0
180.0,8190,144,30,0,1,0,0,0
180.0,8190,146,28,0,1,0,0,0
180.0,8190,143,29,0,1,0,0,0
180.0,8190,142,29,0,1,0,0,0
180.0,8190,144,29,0,1,0,0,0
180.0,8190,143,31,0,1,0,0,0
180.0,8190,141,32,0,1,0,0,0
180.0,8190,143,30,0,1,0,0,0
180.0,8190,143,31,0,1,0,0,0
180.0,8190,142,31,0,1,0,0,0
180.0,8190,143,32,0,1,0,0,0
180.0,8190,142,29,0,1,0,0,0
180.0,8190,143,31,0,1,0,0,0
180.0,8190,143,31,0,1,0,0,0
180.0,8190,144,33,0,1,0,0,0
180.0,8190,144,30,0,1,0,0,0
180.0,8190,143,32,0,1,0,0,0
180.0,8190,145,30,0,1,0,0,0
180.0,8190,145,28,0,1,0,0,0
180.0,8190,144,29,0,1,0,0,0
180.0,8190,145,30,0,1,0,0,0
180.0,8190,145,30,0,1,0,0,0
180.0,8190,144,30,0,1,0,0,0
180.0,8190,144,30,0,1,0,0,0
180.0,8190,145,31,0,1,0,0,0
180.0,8190,146,31,0,1,0,0,0
180.0,8190,145,30,0,1,0,0,0
180.0,8190,144,30,0,1,0,0,0
180.0,8190,144,31,0,1,0,0,0
180.0,8190,145,30,0,1,0,0,0
180.0,8190,143,30,0,1,0,0,0
180.0,8190,146,31,0,1,0,0,0
180.0,8190,143,31,0,1,0,0,0
180.0,8190,142,30,0,1,0,0,0
180.0,8190,145,30,0,1,0,0,0
180.0,8190,144,30,0,1,0,0,0
180.0,8190,143,30,0,1,0,0,0
180.0,8190,143,28,0,1,0,0,0
180.0,8190,145,30,0,1,0,0,0
180.0,8190,146,30,0,1,0,0,0
180.0,8190,145,31,0,1,0,0,0
180.0,8190,145,29,0,1,0,0,0
180.0,8190,143,32,0,1,0,0,0
180.0,8190,143,29,0,1,0,0,0
180.0,8190,142,29,0,1,0,0,0
180.0,8190,143,30,0,1,0,0,0
180.0,8190,145,29,0,1,0,0,0
180.0,8190,143,29,0,1,0,0,0
180.0,8190,144,29,0,1,0,0,0
180.0,8190,145,29,0,1,0,0,0
180.0,8190,143,29,0,1,0,0,0
180.0,8190,143,29,0,1,0,0,0
180.0,8190,143,29,0,1,0,0,0
