Identifier,value1,value2,value3,g,l,s,m,e
0.9,0.03027713343914052,0.005371749481137834,0.004028812110853376,1,0,0,0,0
0.9,0.0297887925772189,0.005005493834696618,0.004028812110853376,1,0,0,0,0
0.9,0.029666707361738494,0.004639238188255402,0.00390672689537297,1,0,0,0,0
0.9,0.0297887925772189,0.0043950677572945915,0.004150897326333781,1,0,0,0,0
0.9,0.0297887925772189,0.004761323403735807,0.004150897326333781,1,0,0,0,0
0.9,0.029910877792699304,0.005005493834696618,0.004272982541814186,1,0,0,0,0
0.9,0.03027713343914052,0.004883408619216213,0.004150897326333781,1,0,0,0,0
0.9,0.03003296300817971,0.005127579050177023,0.004028812110853376,1,0,0,0,0
0.9,0.030399218654620926,0.004761323403735807,0.004272982541814186,1,0,0,0,0
0.9,0.030155048223660115,0.004639238188255402,0.004150897326333781,1,0,0,0,0
0.9,0.030643389085581736,0.004639238188255402,0.004028812110853376,1,0,0,0,0
0.9,0.031009644732022952,0.005127579050177023,0.004028812110853376,1,0,0,0,0
0.9,0.03162007080942498,0.005493834696618239,0.004028812110853376,1,0,0,0,0
0.9,0.03137590037846417,0.005493834696618239,0.00390672689537297,1,0,0,0,0
0.9,0.03162007080942498,0.005493834696618239,0.00390672689537297,1,0,0,0,0
0.9,0.03149798559394457,0.005371749481137834,0.004272982541814186,1,0,0,0,0
0.9,0.03149798559394457,0.005493834696618239,0.004028812110853376,1,0,0,0,0
0.9,0.03149798559394457,0.005493834696618239,0.004028812110853376,1,0,0,0,0
0.9,0.03162007080942498,0.005493834696618239,0.004028812110853376,1,0,0,0,0
0.9,0.03137590037846417,0.005127579050177023,0.004028812110853376,1,0,0,0,0
0.9,0.031131729947503357,0.005005493834696618,0.00390672689537297,1,0,0,0,0
0.9,0.030887559516542547,0.004883408619216213,0.004028812110853376,1,0,0,0,0
0.9,0.031009644732022952,0.005005493834696618,0.004028812110853376,1,0,0,0,0
0.9,0.030887559516542547,0.005127579050177023,0.004028812110853376,1,0,0,0,0
0.9,0.031742156024905384,0.004883408619216213,0.004028812110853376,1,0,0,0,0
0.9,0.03149798559394457,0.004883408619216213,0.004028812110853376,1,0,0,0,0
0.9,0.03076547430106214,0.0043950677572945915,0.004028812110853376,1,0,0,0,0
