Identifier,value1,value2,value3,g,l,s,m,e,Goodness
0.9,0.031497986,0.005371749,0.004272983,1,0,0,0,0,100
0.9,0.031497986,0.005493835,0.004028812,1,0,0,0,0,100
0.9,0.031497986,0.005493835,0.004028812,1,0,0,0,0,100
0.9,0.031620071,0.005493835,0.004028812,1,0,0,0,0,100
0.9,0.0313759,0.005127579,0.004028812,1,0,0,0,0,100
0.9,0.03113173,0.005005494,0.003906727,1,0,0,0,0,100
0.9,0.03088756,0.004883409,0.004028812,1,0,0,0,0,100
0.9,0.031009645,0.005005494,0.004028812,1,0,0,0,0,100
0.9,0.03088756,0.005127579,0.004028812,1,0,0,0,0,100
0.9,0.031742156,0.004883409,0.004028812,1,0,0,0,0,100
0.9,0.031497986,0.004883409,0.004028812,1,0,0,0,0,100
0.9,0.030765474,0.004395068,0.004028812,1,0,0,0,0,100
0.9,0.03113173,0.004395068,0.004028812,1,0,0,0,0,100
0.9,0.029910878,0.005005494,0.004028812,1,0,0,0,0,100
0.9,0.030032963,0.004761323,0.003784642,1,0,0,0,0,100
0.9,0.029910878,0.004517153,0.003906727,1,0,0,0,0,100
0.9,0.029788793,0.004883409,0.004272983,1,0,0,0,0,100
0.9,0.030277133,0.004639238,0.004028812,1,0,0,0,0,100
0.9,0.029910878,0.004639238,0.004028812,1,0,0,0,0,100
0.9,0.029910878,0.004639238,0.004028812,1,0,0,0,0,100
0.9,0.029300452,0.004395068,0.004028812,1,0,0,0,0,100
0.9,0.029788793,0.004761323,0.004272983,1,0,0,0,0,100
0.9,0.029910878,0.004639238,0.004150897,1,0,0,0,0,100
0.9,0.029666707,0.004761323,0.004028812,1,0,0,0,0,100
0.9,0.030155048,0.004761323,0.004028812,1,0,0,0,0,100
0.9,0.029788793,0.004639238,0.004150897,1,0,0,0,0,100
0.9,0.029910878,0.004639238,0.004150897,1,0,0,0,0,100
0.9,0.030155048,0.004639238,0.003906727,1,0,0,0,0,100
0.9,0.029788793,0.004761323,0.004150897,1,0,0,0,0,100
0.9,0.029910878,0.004517153,0.003906727,1,0,0,0,0,100
0.9,0.029910878,0.004761323,0.003906727,1,0,0,0,0,100
0.9,0.029788793,0.004272983,0.004028812,1,0,0,0,0,100
0.9,0.030399219,0.004639238,0.003784642,1,0,0,0,0,100
0.9,0.030032963,0.004639238,0.004150897,1,0,0,0,0,100
0.9,0.030277133,0.004761323,0.004028812,1,0,0,0,0,100
0.9,0.029666707,0.004517153,0.004028812,1,0,0,0,0,100
